_time,event_action,user,src_ip,dest_ip,host,resource,result,severity
2026-09-01T09:07:09+01:00,login,dev.auwal,198.51.100.21,192.0.2.40,nova-ci01,developer-account,failure,low
2026-09-01T09:13:35+01:00,login,admin.lara,198.51.100.21,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:14:16+01:00,login,dev.auwal,198.51.100.12,192.0.2.20,nova-app01,user-session,failure,low
2026-09-01T09:18:26+01:00,login,admin.lara,198.51.100.21,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:23:06+01:00,workflow_modified,ci.runner,198.51.100.21,192.0.2.40,nova-dev01,approved-maintenance.yml,success,low
2026-09-01T09:23:36+01:00,outbound_connection,analyst.qeeyah,192.0.2.40,203.0.113.10,nova-backup01,updates.example:443,success,low
2026-09-01T09:24:54+01:00,login,analyst.qeeyah,198.51.100.21,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:25:01+01:00,login,dev.auwal,198.51.100.21,192.0.2.20,nova-app01,developer-account,failure,low
2026-09-01T09:27:17+01:00,login,dev.auwal,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:27:18+01:00,outbound_connection,analyst.qeeyah,192.0.2.20,203.0.113.10,nova-backup01,updates.example:443,success,low
2026-09-01T09:30:00+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:30:35+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:31:10+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:31:45+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:32:20+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:32:21+01:00,login,dev.auwal,198.51.100.11,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:32:55+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:33:30+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:33:57+01:00,login,analyst.qeeyah,198.51.100.11,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:34:05+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:34:40+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:35:15+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:35:50+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:36:02+01:00,login,dev.auwal,198.51.100.12,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:36:25+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,failure,medium
2026-09-01T09:37:12+01:00,login,analyst.qeeyah,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:37:13+01:00,login,admin.lara,198.51.100.10,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:38:00+01:00,login,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-account,success,high
2026-09-01T09:41:00+01:00,token_issued,dev.victor,198.51.100.77,192.0.2.20,nova-app01,developer-api-token,success,high
2026-09-01T09:41:03+01:00,outbound_connection,ci.runner,192.0.2.21,203.0.113.10,nova-ci01,updates.example:443,success,low
2026-09-01T09:42:28+01:00,login,dev.auwal,198.51.100.10,192.0.2.30,nova-app01,developer-account,failure,low
2026-09-01T09:43:00+01:00,consent_granted,dev.victor,198.51.100.77,192.0.2.20,nova-app01,repo.read workflow.write,success,high
2026-09-01T09:46:25+01:00,outbound_connection,dev.auwal,192.0.2.40,203.0.113.10,nova-app01,updates.example:443,success,low
2026-09-01T09:50:00+01:00,workflow_modified,dev.victor,198.51.100.77,192.0.2.30,nova-ci01,.ci/deploy-learning-api.yml,success,critical
2026-09-01T09:50:45+01:00,login,admin.lara,198.51.100.20,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:56:09+01:00,login,analyst.qeeyah,198.51.100.21,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:56:49+01:00,login,admin.lara,198.51.100.20,192.0.2.20,nova-app01,user-session,success,low
2026-09-01T09:59:00+01:00,privileged_command,dev.victor,198.51.100.77,192.0.2.20,nova-app01,/etc/sudoers,success,high
2026-09-01T09:59:59+01:00,outbound_connection,analyst.qeeyah,192.0.2.20,203.0.113.10,nova-backup01,updates.example:443,success,low
